#Settings
,Signal to Noise Ratio,Window size,Lower frequency bound,Upper frequency bound,Skip similar frequency regions,Chancel run after 10 similar frequencies,Ignore unsignificant frequencies number
0,3.5,2.0,,,False,True,0


#Statistics
,Duty cycle,Nyquist frequency,Total number of found frequencies
0,0.9207659413648241,360.0019637387029,95


#Result
f_nr,frequency,amp,phase,snr,res_noise,significant
51,29.67888+/-0.00005,0.000194+/-0.000020,0.685+/-0.016,6.432856681234397,-3.3330598198202406e-05,True
52,25.79653+/-0.00005,0.000190+/-0.000020,0.125+/-0.017,5.739598699407897,-3.331632190664107e-05,True
53,12.49425+/-0.00005,0.000189+/-0.000020,0.846+/-0.017,5.7307476864210845,-3.326243101830605e-05,True
54,24.59694+/-0.00005,0.000180+/-0.000020,0.856+/-0.018,5.528954150695318,-3.300420312625319e-05,True
55,23.96689+/-0.00005,0.000180+/-0.000020,0.360+/-0.018,6.209220433044366,-3.304794230924496e-05,True
56,12.01963+/-0.00005,0.000179+/-0.000020,0.152+/-0.018,6.05044325412482,-3.305637832072104e-05,True
57,26.36607+/-0.00005,0.000176+/-0.000020,0.459+/-0.018,5.5176320456583,-3.306502555992554e-05,True
58,11.89505+/-0.00006,0.000167+/-0.000020,0.566+/-0.019,5.7474968351775875,-3.309586361655584e-05,True
59,30.09061+/-0.00006,0.000167+/-0.000020,0.970+/-0.019,6.103473513374976,-3.318354695671489e-05,True
60,11.59841+/-0.00006,0.000165+/-0.000020,0.548+/-0.019,6.112706497010737,-3.312294735920062e-05,True
61,31.75414+/-0.00006,0.000152+/-0.000020,0.120+/-0.021,5.895136009120368,-3.314626291140412e-05,True
62,12.26762+/-0.00006,0.000151+/-0.000020,0.520+/-0.021,5.613325619973143,-3.3174880591839916e-05,True
63,30.55574+/-0.00006,0.000151+/-0.000020,0.394+/-0.021,5.097325141242383,-3.3213968776144025e-05,True
64,18.60848+/-0.00006,0.000149+/-0.000020,0.254+/-0.021,6.779613260563183,-3.319375112922798e-05,True
65,14.37123+/-0.00006,0.000147+/-0.000020,0.457+/-0.021,6.914895386752956,-3.31723834591087e-05,True
66,2.40603+/-0.00006,0.000144+/-0.000020,0.500+/-0.022,9.682247176011371,-3.300706619234103e-05,True
67,2.406300+/-0.000032,0.000288+/-0.000020,0.557+/-0.011,16.995799582909427,-3.330643381851554e-05,True
